product_id,category_id
15139,7
15171,7
15178,7
15200,7
15450,9
15456,9
15457,9
15462,9
15468,9
15475,9
15528,8
15531,8
15532,8
15533,8
15534,8
15535,8
16645,7
16646,7
16648,7
16649,7
16650,7
16660,7
16679,7
16680,7
16681,7
16689,7
16718,7
16722,7
16725,7
16728,7
16729,7
16731,7
16734,7
16809,7
16901,10
16906,10
16911,10
16912,10
16971,10
17010,10
17805,7
18005,1
18053,7
18064,7
18100,7
18131,1
18154,1
18185,1
18218,1
18219,1
18239,1
18279,1
18301,2
18305,1
18309,1
18323,1
18330,1
18334,1
18355,1
18359,1
18364,1
18374,2
18380,1
18435,1
18437,1
18446,1
18468,1
18484,7
18490,1
18518,1
18528,7
18570,1
18598,1
18611,1
18616,1
19594,5
19596,5
19597,5
19598,5
19599,5
19600,5
19607,5
19611,5
19612,5
19676,5
19683,5
19684,5
19686,5
19687,5
19688,5
19689,5
19690,5
19708,5
19715,5
19720,5
19856,5
19865,5
19869,5
20014,5
21089,3
29439,1
29449,1
29519,7
29663,5
29710,8
29970,3
30022,10
30023,10
30082,8
30103,8
30105,8
30201,8
30202,8
30337,9
30338,9
30574,5
30619,7
30620,7
30621,7
30710,7
30711,7
30785,7
30786,7
31679,7
31966,8
31972,8
31973,8
31975,8
31976,8
32065,8
32241,7
33276,7
33277,7
33289,7
33303,7
37946,1
37953,1
37982,1
37985,1
37993,1
38018,1
38124,1
38174,1
38176,1
38178,1
38212,1
38236,1
38239,1
38636,2
38740,2
39150,1
39280,5
39429,3
39764,1
39884,7
39888,5
39895,1
39895,11
40189,1
40258,5
40383,1
40487,7
40998,1
41068,2
41169,1
41286,1
41388,1
41398,7
41650,1
41685,5
41688,1
41800,1
41870,1
42569,7
43087,10
43088,10
43089,10
43090,8
43090,10
43097,8
43098,10
43107,10
43134,10
43334,8
43335,8
43336,8
43343,8
43344,8
43347,8
43349,8
43361,8
43372,8
43671,9
43690,9
43691,9
43711,9
43714,9
43763,7
44189,7
44266,7
44267,7
47180,3
47181,3
48548,4
48746,7
48992,7
48996,7
48997,7
48998,7
48999,7
49000,7
49005,7
49082,7
49086,7
49130,7
49870,7
50176,5
50807,1
50818,1
50956,1
50997,1
51022,1
51061,1
51122,4
51128,1
51128,7
51138,1
51193,7
51572,1
51575,1
51605,1
51607,1
51609,1
51616,1
51654,1
52481,5
53365,5
53366,5
54194,7
54196,7
54201,7
54334,9
54345,9
54392,7
54433,7
54434,7
54732,3
54927,3
55159,2
55348,7
55377,3
55412,7
55744,3
55882,3
55915,3
56248,3
56398,1
56406,3
56538,3
56819,7
56971,1
57043,1
57061,7
57106,10
57278,7
57279,7
57280,7
57376,8
57385,1
57551,7
57653,3
58615,1
58951,3
59125,5
59415,7
59416,7
59417,7
59423,7
59424,7
59436,1
60782,1
60783,1
60788,1
60954,3
61090,1
61306,3
61314,3
61358,3
61360,3
62503,7
62539,7
62540,7
62598,1
63093,5
63222,3
63626,1
63753,1
63859,7
63863,7
63864,7
63869,7
63873,7
63876,7
63878,7
63891,7
63899,7
63901,7
63907,7
63915,7
63919,7
63920,7
63921,7
63922,7
63923,7
63924,7
63925,7
63936,7
63937,7
63943,7
63997,7
63998,7
64006,7
64007,7
64439,10
64503,7
64515,7
64516,7
64517,7
65211,3
66862,7
66863,7
67082,8
68609,1
69111,5
69112,5
69482,2
69485,1
69980,7
69993,7
70000,8
70001,8
70002,8
70030,5
70064,9
70069,9
70073,9
70105,1
70828,1
70937,1
71092,5
71136,3
71447,5
71728,1
71734,1
72081,8
72620,7
72622,7
72623,7
73358,1
73628,3
73736,3
73736,11
73738,3
73738,11
74186,7
74187,7
74215,7
74278,8
74279,8
74280,8
74281,8
74282,8
75083,9
75387,1
75984,5
76847,10
77265,7
77471,1
77920,1
78003,3
78130,3
78135,3
78136,3
79359,1
79360,1
79362,7
79771,10
79807,7
79808,7
79856,8
80033,11
80035,11
80040,1
80040,11
81128,1
81129,2
81395,5
81396,5
81420,5
81422,5
81449,6
81452,6
81453,6
81462,5
81498,3
81541,3
81542,3
81543,3
81568,7
81570,7
81996,7
82038,7
82101,7
82102,7
82376,10
82377,10
82380,10
82419,1
82489,1
83435,11
83437,11
83441,1
83441,11
84106,5
84107,5
84120,5
84121,5
84122,5
84577,3
84678,5
84737,3
84869,5
84871,5
85069,7
85075,1
85075,11
85163,5
85164,5
85224,1
85228,7
85229,7
85230,7
85282,8
85283,8
85325,5
85440,7
85441,1
85443,7
85444,7
85446,7
85447,7
85794,3
85795,3
85929,3
86743,3
86748,3
86760,3
86978,11
87090,5
87097,11
87098,11
87100,11
87131,11
87177,4
87177,11
87402,7
87406,7
87407,7
87446,8
87447,5
87447,8
87718,8
87720,8
87721,8
87863,7
87864,7
88157,3
88339,1
88363,8
88669,8
88671,8
88672,8
89446,1
89526,1
89526,11
89593,5
89664,3
89666,3
89731,1
89731,11
89763,8
89764,8
89765,8
89820,5
90178,7
90708,7
91067,7
91068,7
91071,7
91072,7
91073,7
91074,7
91431,1
91431,11
92061,3
92081,3
92082,3
92135,3
92706,3
92709,3
92712,3
92714,3
93713,5
93850,7
93851,7
93856,7
93861,7
93864,7
93922,7
93923,7
93935,8
93936,8
93937,8
93938,8
94196,7
94324,7
104417,1
104460,5
104466,3
104485,6
104492,5
104492,7
104679,3
104680,3
104681,3
104682,3
104684,3
104685,3
104690,3
104691,3
104963,3
105432,5
105724,10
105902,7
106004,5
106065,8
106148,9
106727,7
106733,8
106755,7
106979,10
107052,10
107066,7
107170,8
107307,8
107308,8
107458,8
107554,8
107618,5
107697,1
107747,8
107855,3
107855,5
107861,3
108025,3
108112,11
108202,4
108461,5
108507,5
108741,8
108743,8
108745,8
108746,8
108784,8
108788,9
108827,8
108842,8
109094,8
109410,8
109421,8
109707,1
110001,11
110035,5
110050,5
110051,5
110076,5
110096,5
110121,4
110152,3
110153,3
110166,3
110501,7
110598,7
110599,7
110877,10
110893,10
110902,7
111011,8
111106,7
111130,4
111476,10
112476,1
112477,1
112487,2
113027,7
113424,5
113685,9
113825,4
113825,11
114070,7
114138,6
114737,3
114738,3
115226,7
115238,1
115240,3
115242,3
115244,3
115245,3
115289,3
115299,3
115323,4
115366,3
115390,3
115396,3
115951,5
115970,6
115984,7
116193,8
116201,8
116359,5
116369,5
116466,5
116555,3
116556,3
116914,7
116939,10
116977,10
116982,7
117003,7
117029,7
117045,10
117053,10
117087,7
117105,10
117111,10
117146,10
117159,10
117335,3
117926,1
118798,1
118876,4
118876,11
119482,7
119961,5
120698,5
120700,5
120787,3
120796,3
120828,3
120829,3
120916,3
121055,3
121068,3
121468,11
121821,11
121907,5
122703,7
122718,7
122719,7
122721,7
122732,7
122734,7
123002,8
123005,8
123006,8
123009,8
123010,8
123011,8
123012,8
123014,8
123018,8
123021,8
123023,8
123031,8
123043,8
123054,8
123140,8
123141,8
123143,8
123144,8
123174,8
123201,8
123207,8
123210,8
123215,8
123260,8
123325,7
123365,9
123548,8
123551,8
123778,4
123778,11
123848,10
123852,10
123856,10
125786,7
125823,5
125878,5
125880,5
125887,5
125913,4
126074,1
126697,4
126698,4
127333,3
127415,5
127487,6
127521,4
127600,4
127600,11
127690,3
128242,3
128247,3
128254,3
128276,5
128279,5
128281,4
128284,3
128295,3
128341,1
128393,5
129174,1
129198,5
129946,1
130086,7
130265,7
130266,7
130292,7
130294,7
130295,7
130323,7
130324,7
130425,7
130426,7
130430,7
130440,8
130669,7
130670,7
130812,9
131606,1
132803,5
132804,5
132863,5
132873,5
133081,3
133283,1
133284,1
133969,1
134111,3
134112,3
134227,3
134716,1
134717,8
134921,5
135207,1
135298,7
135467,1
135481,8
135482,8
135483,8
135487,9
135488,9
135498,5
135543,8
135547,7
135548,7
135617,5
135728,1
138030,1
138518,3
138519,3
138627,3
138639,6
138640,6
139086,3
139327,3
139327,11
139804,3
139805,3
139806,3
139964,4
139964,11
140660,5
140787,5
141632,7
141655,1
141697,5
141701,5
141703,7
141704,5
141707,7
141734,7
141753,7
141757,7
141765,7
141766,7
141769,7
141772,7
141774,7
141777,7
141805,7
141822,7
141833,7
141844,10
141852,10
142262,8
142264,8
142277,9
142493,10
142494,10
142501,7
142505,7
143094,11
143384,3
144702,3
144703,3
144744,5
144745,5
145085,7
145532,5
145573,5
145577,5
145578,5
146547,11
146668,3
146678,3
146728,5
147103,6
147103,10
147129,3
147348,7
147349,7
147380,7
147381,7
147468,7
147858,11
151762,7
151774,7
151787,7
151789,7
151790,7
151793,1
151838,8
151839,8
151840,8
151841,8
152088,9
152267,7
152287,7
152421,7
152518,7
153856,1
154246,5
154624,5
154734,5
155557,3
155557,11
155625,3
155648,3
155668,3
155669,3
155692,3
155693,3
155764,3
155816,1
155844,3
155856,3
155975,3
156353,1
156539,1
156584,3
158410,5
158412,5
158417,5
158428,5
158639,3
162639,7
162680,7
162722,8
162723,8
162740,8
162831,9
162832,9
162866,10
162867,10
162891,10
162892,10
162894,10
164354,5
164355,5
164512,1
164892,4
164892,11
165914,4
165914,11
165986,3
165986,11
166050,8
166142,3
166987,3
166987,11
167076,1
167155,3
167155,11
169062,3
169065,3
169305,8
169345,3
169349,3
169352,5
169353,5
169354,5
169355,5
169362,1
169373,5
169794,3
169893,4
169893,11
170134,3
170138,3
170190,3
170191,3
170200,1
170200,11
170956,5
170958,5
173997,3
173998,3
174745,7
174749,7
174758,7
174759,7
174761,7
174763,7
174765,7
174771,10
174772,10
174773,10
174793,8
174924,7
174927,7
174937,7
174939,7
174942,7
175100,3
175208,7
175226,7
175229,5
175348,4
175348,11
175349,3
175349,11
178949,3
179645,3
179645,11
179649,3
179650,6
179676,3
179677,3
180520,3
180522,3
180524,3
182863,5
182867,5
183161,11
183357,4
183357,11
183583,4
183583,11
185374,5
185375,5
185391,3
185510,8
185524,3
185563,3
185575,8
185640,1
185708,11
187197,3
187197,11
189203,7
189219,9
189231,9
189308,7
189327,5
189329,8
189368,10
189369,10
190833,1
190865,9
191112,9
191334,4
191334,11
191335,4
191335,11
191662,5
192863,3
192863,11
193700,1
105899,8
43382,8
111012,8
143110,8
41679,8
43388,8
105872,8
146721,8
85287,8
43387,8
64291,8
54520,8
64290,8
87724,8
15685,8
15687,8
185707,8
151849,8
39517,8
117054,8
15686,8
15663,8
117162,8
105910,8
43377,8
54573,8
43373,8
63861,7
93854,7
90175,7
90182,7
63911,7
141752,7
91966,6
33338,6
38840,6
91968,6
40740,6
91957,6
103715,6
91970,6
91969,6
16682,7
64502,7
69946,7
69947,7
90167,7
90171,7
90177,7
90179,7
90181,7
93843,7
93859,7
93860,7
93863,7
106147,9
110120,4
141736,7
141743,7
141744,7
141746,7
141748,7
141749,7
141750,7
141751,7
174748,7
174753,7
185512,8
43346,8
43370,8
106764,8
122720,7
123439,8
123511,8
123829,7
126323,7
174790,8
183166,8
185410,8
185411,8
185412,8
185576,8
185577,8
185581,8
185582,8
41373,1
41373,7
79461,1
107563,8
107588,8
107659,8
108828,8
108839,8
155616,1
155815,1
169335,3
121470,1
41414,5
103705,5
61096,5
89552,5
103704,5
89602,5
89601,5
158420,5
20077,5
20076,5
145523,5
20071,5
20089,5
104962,5
