substitution_group_id,product_id
1,15528
1,15531
1,15532
1,15533
1,15534
1,15535
1,29710
1,30082
1,30103
1,30105
1,30201
1,30202
1,31966
1,31972
1,31973
1,31975
1,32065
1,43097
1,43334
1,43335
1,43343
1,43344
1,43346
1,43347
1,43361
1,43370
1,43372
1,57376
1,67082
1,70000
1,70001
1,70002
1,72081
1,74278
1,74279
1,74280
1,74281
1,74282
1,79856
1,87720
1,87721
1,88363
1,88669
1,88671
1,88672
1,89763
1,89764
1,89765
1,93935
1,93936
1,93937
1,93938
1,106065
1,106733
1,106764
1,107170
1,107307
1,107308
1,107458
1,107554
1,107563
1,107588
1,107659
1,107747
1,108741
1,108743
1,108745
1,108746
1,108784
1,108827
1,108828
1,108839
1,108842
1,109094
1,109410
1,109421
1,111011
1,116193
1,116201
1,123002
1,123005
1,123006
1,123009
1,123010
1,123011
1,123012
1,123014
1,123018
1,123021
1,123023
1,123031
1,123043
1,123054
1,123140
1,123141
1,123143
1,123144
1,123174
1,123201
1,123207
1,123210
1,123215
1,123260
1,123439
1,123511
1,123548
1,123551
1,130440
1,134717
1,135481
1,135482
1,135483
1,135543
1,142262
1,142264
1,151838
1,151839
1,151840
1,151841
1,162722
1,162723
1,162740
1,166050
1,169305
1,174790
1,174793
1,183166
1,185410
1,185411
1,185510
1,185512
1,185575
1,185576
1,185577
1,185581
1,185582
1,189329
2,21089
2,29970
2,39429
2,47180
2,47181
2,55377
2,55744
2,57653
2,58951
2,60954
2,61306
2,61314
2,61358
2,61360
2,65211
2,73736
2,73738
2,84577
2,85794
2,85795
2,86743
2,86748
2,88157
2,89664
2,92081
2,92082
2,92135
2,104679
2,104680
2,104681
2,104682
2,104684
2,104685
2,104690
2,104691
2,107861
2,108025
2,110152
2,115299
2,115396
2,117335
2,120787
2,120796
2,120916
2,121055
2,121068
2,121468
2,121821
2,128242
2,128254
2,128295
2,134227
2,138518
2,138519
2,138627
2,146668
2,147129
2,155648
2,155668
2,155692
2,155693
2,155764
2,156584
2,169062
2,169065
2,169335
2,169345
2,169349
2,170190
2,170191
2,179676
2,179677
2,185524
2,185563
3,16901
3,16906
3,16911
3,16912
3,16971
3,17010
3,30022
3,30023
3,43087
3,43088
3,43089
3,43090
3,43098
3,43107
3,43134
3,57106
3,64439
3,76847
3,79771
3,82376
3,82377
3,82380
3,105724
3,106979
3,107052
3,110877
3,110893
3,111476
3,116939
3,116977
3,117045
3,117053
3,117105
3,117111
3,117146
3,117159
3,123848
3,123852
3,123856
3,141844
3,141852
3,142493
3,142494
3,162866
3,162867
3,162891
3,162892
3,162894
3,174771
3,174772
3,174773
3,189368
3,189369
4,20014
4,29663
4,30574
4,41685
4,52481
4,69111
4,69112
4,71447
4,75984
4,81395
4,81396
4,84869
4,84871
4,87090
4,89593
4,89820
4,105432
4,110096
4,115951
4,116359
4,116369
4,116466
4,121907
4,127415
4,128276
4,129198
4,134921
4,135617
4,140660
4,140787
4,145532
4,145577
4,145578
4,146728
4,158410
4,158412
4,158417
4,158428
4,164354
4,164355
4,169373
4,170956
4,170958
4,182867
4,185374
4,185375
5,54732
5,54927
5,55882
5,55915
5,56248
5,56406
5,78003
5,78130
5,78135
5,81541
5,81542
5,81543
5,84737
5,85929
5,86760
5,89666
5,92061
5,92709
5,92712
5,92714
5,110166
5,115240
5,115242
5,115244
5,115245
5,116555
5,116556
5,128247
5,128284
5,139327
5,139804
5,139805
5,139806
5,143384
5,155557
5,155844
5,165986
5,166987
5,167155
5,169794
5,175349
5,179645
5,185391
5,187197
5,192863
6,16646
6,16680
6,16681
6,16722
6,16725
6,16728
6,16729
6,16731
6,16734
6,40487
6,48996
6,48998
6,49000
6,49086
6,63864
6,63869
6,63878
6,63891
6,63922
6,63923
6,63924
6,63925
6,63936
6,64515
6,64516
6,82038
6,90178
6,93850
6,93864
6,106727
6,130294
6,130295
6,141734
6,141753
6,141765
6,141766
6,141769
6,141772
6,141777
6,147349
6,174745
6,174761
6,174763
6,174937
7,18005
7,18131
7,18239
7,18323
7,18334
7,18570
7,18598
7,18616
7,37953
7,37982
7,39150
7,39764
7,41169
7,41650
7,41870
7,50807
7,51138
7,51654
7,57385
7,68609
7,69485
7,70105
7,71734
7,79359
7,79360
7,79461
7,81128
7,107697
7,131606
7,133969
7,153856
7,155616
7,155815
7,155816
7,156353
7,167076
7,169362
7,170200
8,56538
8,63222
8,71136
8,73628
8,78136
8,81498
8,92706
8,114737
8,114738
8,127333
8,127690
8,139086
8,144702
8,144703
8,146678
8,155625
8,155856
8,155975
8,158639
8,166142
8,170134
8,170138
8,173997
8,173998
8,175100
8,180520
8,180522
8,180524
9,17805
9,30621
9,30710
9,30711
9,33289
9,63997
9,63998
9,66862
9,69980
9,74186
9,74187
9,79807
9,81568
9,82101
9,82102
9,85440
9,87406
9,87407
9,94324
9,104492
9,115984
9,122718
9,122719
9,122720
9,123829
9,125786
9,126323
9,130670
9,135298
9,141703
9,141707
9,151787
9,189308
10,18218
10,18279
10,18330
10,18355
10,18359
10,18364
10,29439
10,29449
10,37985
10,40189
10,40998
10,41286
10,41373
10,41388
10,41688
10,41800
10,50956
10,50997
10,51061
10,51572
10,51575
10,51616
10,61090
10,62598
10,63753
10,70937
10,71728
10,77920
10,118798
10,126074
10,135207
11,48548
11,51122
11,87177
11,108202
11,110001
11,110120
11,110121
11,111130
11,113825
11,115323
11,118876
11,123778
11,125913
11,126697
11,126698
11,127521
11,127600
11,128281
11,139964
11,164892
11,165914
11,169893
11,175348
11,183357
11,183583
11,191334
11,191335
12,19676
12,19683
12,19684
12,19686
12,19687
12,19688
12,19689
12,19690
12,63093
12,81420
12,84120
12,84121
12,84122
12,110050
12,110051
12,110076
12,120698
12,128393
12,132873
12,144744
12,144745
12,145573
12,169352
12,169353
12,169354
12,169355
13,15139
13,29519
13,39884
13,55348
13,55412
13,56819
13,57061
13,69993
13,72620
13,72622
13,72623
13,74215
13,79362
13,93922
13,93923
13,106755
13,130086
13,135547
13,135548
13,141632
13,141833
13,152421
13,152518
13,174942
14,15450
14,15456
14,15457
14,15462
14,15468
14,15475
14,30337
14,30338
14,43691
14,43714
14,70064
14,70069
14,70073
14,75083
14,106147
14,106148
14,123365
14,135487
14,135488
14,162831
14,162832
14,189231
14,190865
14,191112
15,16645
15,16660
15,16679
15,16689
15,16809
15,49130
15,49870
15,54194
15,54196
15,54201
15,63876
15,85069
15,90708
15,94196
15,110501
15,110902
15,142501
15,147348
15,147380
15,147381
15,147468
15,152267
15,174939
16,19856
16,19865
16,19869
16,39280
16,40258
16,53365
16,53366
16,59125
16,71092
16,81422
16,81462
16,84678
16,85325
16,108461
16,108507
16,113424
16,125880
16,125887
16,154624
17,48746
17,54392
17,57278
17,57279
17,57280
17,57551
17,59423
17,59424
17,87402
17,87863
17,87864
17,91067
17,91068
17,91072
17,116982
17,117003
17,117029
17,175208
18,18064
18,30785
18,44267
18,54434
18,62503
18,62540
18,64006
18,64007
18,85228
18,110598
18,111106
18,114070
18,119482
18,130425
18,130426
18,141822
18,151774
19,19594
19,19597
19,19599
19,19600
19,19612
19,39888
19,50176
19,93713
19,110035
19,120700
19,125823
19,125878
19,132803
19,132804
19,132863
19,182863
20,80033
20,80035
20,83435
20,83437
20,86978
20,87097
20,87098
20,87100
20,87131
20,108112
20,115970
20,143094
20,146547
20,147858
20,183161
20,185708
21,104466
21,104963
21,107855
21,110153
21,115289
21,115366
21,115390
21,120828
21,120829
21,133081
21,134111
21,134112
21,155669
21,178949
21,179649
22,18185
22,18219
22,18380
22,73358
22,75387
22,77471
22,82419
22,82489
22,117926
22,133283
22,133284
22,164512
22,185640
23,15171
23,15178
23,15200
23,41398
23,43763
23,59415
23,59416
23,59417
23,115226
23,117087
23,152287
23,162680
24,19596
24,19598
24,19607
24,19611
24,84106
24,84107
24,85163
24,85164
24,106004
24,128279
24,154734
24,191662
25,18053
25,30619
25,30620
25,33303
25,77265
25,79808
25,81570
25,81996
25,122734
25,130669
25,189203
26,43671
26,43690
26,43711
26,54334
26,54345
26,108788
26,113685
26,130812
26,142277
26,152088
26,189219
27,18611
27,38124
27,38212
27,56971
27,58615
27,63626
27,88339
27,89446
27,104417
27,109707
28,31679
28,44266
28,85230
28,85444
28,85446
28,85447
28,110599
28,122732
28,142505
28,175226
29,57043
29,59436
29,80040
29,85224
29,85441
29,128341
29,134716
29,135467
29,141655
29,151793
30,81449
30,81452
30,81453
30,104485
30,114138
30,127487
30,138639
30,138640
30,147103
30,179650
31,31976
31,43336
31,43349
31,85282
31,85283
31,87446
31,87447
31,87718
31,185412
32,18374
32,18484
32,18528
32,38636
32,38740
32,41068
32,51193
32,112487
33,70030
33,107618
33,135498
33,141697
33,141701
33,141704
33,175229
33,189327
34,18100
34,30786
34,32241
34,54433
34,85229
34,105902
34,116914
35,18435
35,38174
35,38176
35,38178
35,112477
35,135728
35,141744
36,37946
36,69946
36,90167
36,93843
36,112476
36,129174
36,141749
37,48997
37,48999
37,63899
37,63937
37,64517
37,93861
37,174758
38,63901
38,63915
38,93851
38,93856
38,122703
38,141774
38,174759
39,63907
39,113027
39,123325
39,141805
39,145085
39,151789
39,151790
40,16648
40,16649
40,16650
40,91071
40,91073
40,91074
41,16682
41,18468
41,37993
41,60782
41,60783
41,60788
42,18437
42,90181
42,93863
42,115238
42,141736
42,141750
43,19708
43,19715
43,19720
43,104460
43,119961
43,154246
44,33276
44,33277
44,130265
44,130266
44,174924
44,174927
45,51022
45,64502
45,70828
45,90171
45,121470
45,129946
46,18154
46,18305
46,18309
46,38236
46,138030
47,18446
47,39895
47,83441
47,89731
47,91431
48,38239
48,56398
48,90179
48,93860
48,141751
49,44189
49,130323
49,130324
49,151762
49,162639
50,48992
50,63863
50,63919
50,63920
50,63921
52,62539
52,66863
52,85443
52,122721
52,130430
53,64503
53,130292
53,141757
53,174749
53,174765
55,18301
55,55159
55,69482
55,81129
56,18490
56,18518
56,40383
56,156539
57,38018
57,51609
57,141746
57,174748
59,51128
59,51605
59,141743
59,190833
60,85075
60,89526
60,193700
61,51607
61,174753
50,50818
50,69947
50,90177
50,93859
50,141748
36,16718
36,42569
36,63859
36,63873
42,49005
42,49082
42,63943
42,107066
62,105899
62,43382
62,111012
62,143110
62,41679
62,43388
62,105872
62,146721
62,85287
62,43387
62,64291
62,54520
62,64290
62,87724
62,15685
62,15687
62,185707
62,151849
62,39517
62,117054
62,15686
62,15663
62,117162
62,105910
62,43377
62,54573
62,43373
63,63861
63,93854
63,90175
63,90182
63,63911
63,141752
64,91966
64,33338
64,38840
64,91968
64,40740
64,91957
64,103715
64,91970
64,91969
65,41414
65,103705
65,61096
65,89552
65,103704
65,89602
65,89601
65,158420
65,20077
65,20076
65,145523
65,20071
65,20089
65,104962
